opcode_hex,mnemonic,mode,bytes,base_cycles,extra_cycles
00,BRK,imp,1,7,none
01,ORA,indx,2,6,none
05,ORA,zp,2,3,none
06,ASL,zp,2,5,none
08,PHP,imp,1,3,none
09,ORA,imm,2,2,none
0A,ASL,acc,1,2,none
0D,ORA,abs,3,4,none
0E,ASL,abs,3,6,none
10,BPL,rel,2,2,taken+page
11,ORA,indy,2,5,page
15,ORA,zpx,2,4,none
16,ASL,zpx,2,6,none
18,CLC,imp,1,2,none
19,ORA,absy,3,4,page
1D,ORA,absx,3,4,page
1E,ASL,absx,3,7,none
20,JSR,abs,3,6,none
21,AND,indx,2,6,none
24,BIT,zp,2,3,none
25,AND,zp,2,3,none
26,ROL,zp,2,5,none
28,PLP,imp,1,4,none
29,AND,imm,2,2,none
2A,ROL,acc,1,2,none
2C,BIT,abs,3,4,none
2D,AND,abs,3,4,none
2E,ROL,abs,3,6,none
30,BMI,rel,2,2,taken+page
31,AND,indy,2,5,page
35,AND,zpx,2,4,none
36,ROL,zpx,2,6,none
38,SEC,imp,1,2,none
39,AND,absy,3,4,page
3D,AND,absx,3,4,page
3E,ROL,absx,3,7,none
40,RTI,imp,1,6,none
41,EOR,indx,2,6,none
45,EOR,zp,2,3,none
46,LSR,zp,2,5,none
48,PHA,imp,1,3,none
49,EOR,imm,2,2,none
4A,LSR,acc,1,2,none
4C,JMP,abs,3,3,none
4D,EOR,abs,3,4,none
4E,LSR,abs,3,6,none
50,BVC,rel,2,2,taken+page
51,EOR,indy,2,5,page
55,EOR,zpx,2,4,none
56,LSR,zpx,2,6,none
58,CLI,imp,1,2,none
59,EOR,absy,3,4,page
5D,EOR,absx,3,4,page
5E,LSR,absx,3,7,none
60,RTS,imp,1,6,none
61,ADC,indx,2,6,none
65,ADC,zp,2,3,none
66,ROR,zp,2,5,none
68,PLA,imp,1,4,none
69,ADC,imm,2,2,none
6A,ROR,acc,1,2,none
6C,JMP,ind,3,5,none
6D,ADC,abs,3,4,none
6E,ROR,abs,3,6,none
70,BVS,rel,2,2,taken+page
71,ADC,indy,2,5,page
75,ADC,zpx,2,4,none
76,ROR,zpx,2,6,none
78,SEI,imp,1,2,none
79,ADC,absy,3,4,page
7D,ADC,absx,3,4,page
7E,ROR,absx,3,7,none
81,STA,indx,2,6,none
84,STY,zp,2,3,none
85,STA,zp,2,3,none
86,STX,zp,2,3,none
88,DEY,imp,1,2,none
8A,TXA,imp,1,2,none
8C,STY,abs,3,4,none
8D,STA,abs,3,4,none
8E,STX,abs,3,4,none
90,BCC,rel,2,2,taken+page
91,STA,indy,2,6,none
94,STY,zpx,2,4,none
95,STA,zpx,2,4,none
96,STX,zpy,2,4,none
98,TYA,imp,1,2,none
99,STA,absy,3,5,none
9A,TXS,imp,1,2,none
9D,STA,absx,3,5,none
A0,LDY,imm,2,2,none
A1,LDA,indx,2,6,none
A2,LDX,imm,2,2,none
A4,LDY,zp,2,3,none
A5,LDA,zp,2,3,none
A6,LDX,zp,2,3,none
A8,TAY,imp,1,2,none
A9,LDA,imm,2,2,none
AA,TAX,imp,1,2,none
AC,LDY,abs,3,4,none
AD,LDA,abs,3,4,none
AE,LDX,abs,3,4,none
B0,BCS,rel,2,2,taken+page
B1,LDA,indy,2,5,page
B4,LDY,zpx,2,4,none
B5,LDA,zpx,2,4,none
B6,LDX,zpy,2,4,none
B8,CLV,imp,1,2,none
B9,LDA,absy,3,4,page
BA,TSX,imp,1,2,none
BC,LDY,absx,3,4,page
BD,LDA,absx,3,4,page
BE,LDX,absy,3,4,page
C0,CPY,imm,2,2,none
C1,CMP,indx,2,6,none
C4,CPY,zp,2,3,none
C5,CMP,zp,2,3,none
C6,DEC,zp,2,5,none
C8,INY,imp,1,2,none
C9,CMP,imm,2,2,none
CA,DEX,imp,1,2,none
CC,CPY,abs,3,4,none
CD,CMP,abs,3,4,none
CE,DEC,abs,3,6,none
D0,BNE,rel,2,2,taken+page
D1,CMP,indy,2,5,page
D5,CMP,zpx,2,4,none
D6,DEC,zpx,2,6,none
D8,CLD,imp,1,2,none
D9,CMP,absy,3,4,page
DD,CMP,absx,3,4,page
DE,DEC,absx,3,7,none
E0,CPX,imm,2,2,none
E1,SBC,indx,2,6,none
E4,CPX,zp,2,3,none
E5,SBC,zp,2,3,none
E6,INC,zp,2,5,none
E8,INX,imp,1,2,none
E9,SBC,imm,2,2,none
EA,NOP,imp,1,2,none
EC,CPX,abs,3,4,none
ED,SBC,abs,3,4,none
EE,INC,abs,3,6,none
F0,BEQ,rel,2,2,taken+page
F1,SBC,indy,2,5,page
F5,SBC,zpx,2,4,none
F6,INC,zpx,2,6,none
F8,SED,imp,1,2,none
F9,SBC,absy,3,4,page
FD,SBC,absx,3,4,page
FE,INC,absx,3,7,none
