source_commit,source_path,destination_path,source_sha256,destination_sha256,license,authorization,delta
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/common/CMakeLists.txt,src/common/CMakeLists.txt,e62e5bcba44d3f5909f9be0421be2f72c6a5d0db57e6f482260e84c02235d5b4,e62e5bcba44d3f5909f9be0421be2f72c6a5d0db57e6f482260e84c02235d5b4,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/common/MANIFEST.sha256,src/common/MANIFEST.sha256,9897f935497322baebc7fb056eb628f2c0b79a96420332f1bbd7435430d40d0f,9897f935497322baebc7fb056eb628f2c0b79a96420332f1bbd7435430d40d0f,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/common/README.md,src/common/README.md,7f999c3a0a5129a1ecfcb795ea2fae2de50748adc40ec42e68ea84ec2128ae37,7f999c3a0a5129a1ecfcb795ea2fae2de50748adc40ec42e68ea84ec2128ae37,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/common/machine/CMakeLists.txt,src/common/machine/CMakeLists.txt,432119df5736a24a6b454fefabb0ff5ea262ee19601b9b9eae03b8f4dade5875,432119df5736a24a6b454fefabb0ff5ea262ee19601b9b9eae03b8f4dade5875,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/common/machine/frame_interface.h,src/common/machine/frame_interface.h,7e5782168cdbd6ab9c8321596ec463f7aa075d2ab6f0fcbabcc514dd5c50d671,7e5782168cdbd6ab9c8321596ec463f7aa075d2ab6f0fcbabcc514dd5c50d671,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/common/machine/input_queue.c,src/common/machine/input_queue.c,075e03e085c3c025199258fef503dde6b01a7592c66703b6125f79e0ba01bf91,075e03e085c3c025199258fef503dde6b01a7592c66703b6125f79e0ba01bf91,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/common/machine/input_queue.h,src/common/machine/input_queue.h,f3b9e8420f8ce4dccab28f1386a6177d9cc32f433b12544e11873825e0f817a6,f3b9e8420f8ce4dccab28f1386a6177d9cc32f433b12544e11873825e0f817a6,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/common/machine/machine.c,src/common/machine/machine.c,327d91127e9810918e312b1ee6c9caec414b6e12e0fe89284213fac921696499,327d91127e9810918e312b1ee6c9caec414b6e12e0fe89284213fac921696499,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/common/machine/machine_interface.h,src/common/machine/machine_interface.h,a9922b05d65bf4b8c1cb732962b4f91ccc74ae9cbf05ddd86ec1ba0df3bdf4da,a9922b05d65bf4b8c1cb732962b4f91ccc74ae9cbf05ddd86ec1ba0df3bdf4da,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/common/session/CMakeLists.txt,src/common/session/CMakeLists.txt,3a110bcaece4dd6b813bbe62ba414830e85eb9c3fd77963be24ebb38ec8d63d7,3a110bcaece4dd6b813bbe62ba414830e85eb9c3fd77963be24ebb38ec8d63d7,MIT,owner grant 2026-09-19,unchanged
